,date,price
0,1928-01-03,17.760000228881836
1,1928-01-04,17.719999313354492
2,1928-01-05,17.549999237060547
3,1928-01-06,17.65999984741211
4,1928-01-09,17.5
5,1928-01-10,17.3700008392334
6,1928-01-11,17.350000381469727
7,1928-01-12,17.469999313354492
8,1928-01-13,17.579999923706055
9,1928-01-16,17.290000915527344
10,1928-01-17,17.299999237060547
11,1928-01-18,17.260000228881836
12,1928-01-19,17.3799991607666
13,1928-01-20,17.479999542236328
14,1928-01-23,17.639999389648438
15,1928-01-24,17.709999084472656
16,1928-01-25,17.520000457763672
17,1928-01-26,17.6299991607666
18,1928-01-27,17.690000534057617
19,1928-01-30,17.489999771118164
20,1928-01-31,17.56999969482422
21,1928-02-01,17.530000686645508
22,1928-02-02,17.6299991607666
23,1928-02-03,17.399999618530273
24,1928-02-06,17.450000762939453
25,1928-02-07,17.440000534057617
26,1928-02-08,17.489999771118164
27,1928-02-09,17.549999237060547
28,1928-02-10,17.540000915527344
29,1928-02-14,17.440000534057617
30,1928-02-15,17.399999618530273
31,1928-02-16,17.350000381469727
32,1928-02-17,17.040000915527344
33,1928-02-20,16.950000762939453
34,1928-02-21,17.110000610351562
35,1928-02-23,17.1299991607666
36,1928-02-24,17.18000030517578
37,1928-02-27,17.110000610351562
38,1928-02-28,17.15999984741211
39,1928-02-29,17.260000228881836
40,1928-03-01,17.299999237060547
41,1928-03-02,17.299999237060547
42,1928-03-05,17.56999969482422
43,1928-03-06,17.670000076293945
44,1928-03-07,17.579999923706055
45,1928-03-08,17.639999389648438
46,1928-03-09,17.93000030517578
47,1928-03-12,18.0
48,1928-03-13,17.920000076293945
49,1928-03-14,17.93000030517578
50,1928-03-15,18.06999969482422
51,1928-03-16,18.260000228881836
52,1928-03-19,18.360000610351562
53,1928-03-20,18.459999084472656
54,1928-03-21,18.649999618530273
55,1928-03-22,18.600000381469727
56,1928-03-23,18.780000686645508
57,1928-03-26,19.049999237060547
58,1928-03-27,18.940000534057617
59,1928-03-28,18.889999389648438
60,1928-03-29,18.950000762939453
61,1928-03-30,19.280000686645508
62,1928-04-02,18.90999984741211
63,1928-04-03,19.020000457763672
64,1928-04-04,18.989999771118164
65,1928-04-05,19.229999542236328
66,1928-04-09,19.270000457763672
67,1928-04-10,19.100000381469727
68,1928-04-11,19.440000534057617
69,1928-04-12,19.40999984741211
70,1928-04-13,19.729999542236328
71,1928-04-16,19.68000030517578
72,1928-04-17,19.520000457763672
73,1928-04-18,19.520000457763672
74,1928-04-19,19.6299991607666
75,1928-04-20,19.34000015258789
76,1928-04-23,19.149999618530273
77,1928-04-24,19.25
78,1928-04-25,19.329999923706055
79,1928-04-26,19.469999313354492
80,1928-04-27,19.68000030517578
81,1928-04-30,19.75
82,1928-05-01,19.780000686645508
83,1928-05-02,19.829999923706055
84,1928-05-03,19.93000030517578
85,1928-05-04,20.239999771118164
86,1928-05-07,20.40999984741211
87,1928-05-08,20.270000457763672
88,1928-05-09,20.239999771118164
89,1928-05-10,20.209999084472656
90,1928-05-11,20.360000610351562
91,1928-05-14,20.440000534057617
92,1928-05-15,20.389999389648438
93,1928-05-16,20.049999237060547
94,1928-05-17,20.1200008392334
95,1928-05-18,19.920000076293945
96,1928-05-21,19.6299991607666
97,1928-05-22,19.360000610351562
98,1928-05-23,19.75
99,1928-05-24,19.8700008392334
100,1928-05-25,19.899999618530273
101,1928-05-28,19.56999969482422
102,1928-05-29,19.81999969482422
103,1928-05-31,20.0
104,1928-06-01,20.06999969482422
105,1928-06-04,19.799999237060547
106,1928-06-05,19.850000381469727
107,1928-06-06,19.65999984741211
108,1928-06-07,19.610000610351562
109,1928-06-08,19.3700008392334
110,1928-06-11,18.68000030517578
111,1928-06-12,18.34000015258789
112,1928-06-13,18.889999389648438
113,1928-06-14,19.049999237060547
114,1928-06-15,18.739999771118164
115,1928-06-18,18.399999618530273
116,1928-06-19,18.34000015258789
117,1928-06-20,18.56999969482422
118,1928-06-21,18.559999465942383
119,1928-06-22,18.540000915527344
120,1928-06-25,18.469999313354492
121,1928-06-26,18.68000030517578
122,1928-06-27,18.860000610351562
123,1928-06-28,19.06999969482422
124,1928-06-29,19.139999389648438
125,1928-07-02,18.979999542236328
126,1928-07-03,19.290000915527344
127,1928-07-05,19.479999542236328
128,1928-07-06,19.389999389648438
129,1928-07-09,19.459999084472656
130,1928-07-10,19.43000030517578
131,1928-07-11,18.950000762939453
132,1928-07-12,18.809999465942383
133,1928-07-13,18.959999084472656
134,1928-07-16,18.700000762939453
135,1928-07-17,18.799999237060547
136,1928-07-18,19.030000686645508
137,1928-07-19,18.989999771118164
138,1928-07-20,19.030000686645508
139,1928-07-23,19.1200008392334
140,1928-07-24,19.09000015258789
141,1928-07-25,19.200000762939453
142,1928-07-26,19.239999771118164
143,1928-07-27,19.420000076293945
144,1928-07-30,19.469999313354492
145,1928-07-31,19.43000030517578
146,1928-08-01,19.420000076293945
147,1928-08-02,19.329999923706055
148,1928-08-03,19.360000610351562
149,1928-08-06,19.579999923706055
150,1928-08-07,19.489999771118164
151,1928-08-08,19.25
152,1928-08-09,19.299999237060547
153,1928-08-10,19.25
154,1928-08-13,19.290000915527344
155,1928-08-14,19.1299991607666
156,1928-08-15,19.469999313354492
157,1928-08-16,19.610000610351562
158,1928-08-17,19.639999389648438
159,1928-08-20,19.770000457763672
160,1928-08-21,20.020000457763672
161,1928-08-22,20.0
162,1928-08-23,20.020000457763672
163,1928-08-24,20.34000015258789
164,1928-08-27,20.3799991607666
165,1928-08-28,20.540000915527344
